"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"%Nwm - Concess Admit","16/11/2005","10:13:04","NETHERLANDS",13,5.9,"International","Ticket Sales",52.5,5.75
"%Nwm - Adult Admit","14/9/2012","2:50:19","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Magnet/Set/Mini","15/12/2013","2:11:12","GERMANY",7,10.91,"International","Shop Sales",51,9
"Magnet/Beanz/Kangaroo","6/3/2008","12:43:09","OTHER INTERNATIONAL",25,5.5,"International","Shop Sales",NA,NA
"Postcards/G O R / 5sc/ 11go193","8/3/2011","14:00:05","GERMANY",7,0.59,"International","Shop Sales",51,9
"Postcards - Bollards Sail Captain","1/5/2011","11:50:17","JAPAN",11,1.36,"International","Shop Sales",36,138
"Postcard - East'n Beach 3-30006","3/5/2014","3:22:30","TAIWAN",21,0.91,"International","Shop Sales",23.5,121
"Postcards/G O R / 3sc/ 11go190","2/12/2007","13:34:31","GERMANY",7,0.65,"International","Shop Sales",51,9
"%Nwm - Adult Admit","26/8/2014","3:10:00","GERMANY",7,8.25,"International","Ticket Sales",51,9
"Postcards - Bollards","3/1/2006","17:05:08","NETHERLANDS",13,1.5,"International","Shop Sales",52.5,5.75
"Horse shoe nail sheep","14/8/2009","11:19:09","HONG KONG",8,8.95,"International","Shop Sales",22.25,114.1667
"Keyring Bollards","29/11/2013","4:57:17","UNITED KINGDOM",22,8.14,"International","Shop Sales",54,-2
"%Nwm - Child Admit","7/1/2006","11:21:03","UNITED STATES",23,3.65,"International","Ticket Sales",38,-97
"Bookmarks/Sbm018","28/12/2011","1:10:52","CANADA",3,0.91,"International","Shop Sales",60,-95
"%Nwm - Concess Admit","31/1/2008","15:19:27","UNITED KINGDOM",22,11.8,"International","Ticket Sales",54,-2
"Koala 16cm/Swaggie /Long Fur/Auk16swl","24/7/2013","1:52:31","UNITED KINGDOM",22,11.77,"International","Shop Sales",54,-2
"Postcard/Carrie Moore","1/10/2011","13:08:59","CHINA",4,1.14,"International","Shop Sales",35,105
