"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Card - Aust Daisies & Everlastings","20/8/2006","11:50:10","Belmont / Grovedale / Highton",3216,3.5,"Local","Shop Sales",-38.1747227,144.3139277
"Esperance Scuff/Chest 9m","3/9/2009","13:41:44","West Geelong",3218,75,"Local","Shop Sales",-38.1180538,144.2047333
"%Nwm - Concess Admit","28/9/2009","9:59:09","Nth Geelong",3215,5.9,"Local","Ticket Sales",-38.1083132,144.3357845
"Buttons/Cat Black&White L34","23/6/2012","4:00:19","Werribee",3030,13.59,"Local","Shop Sales",-37.938058,144.6753231
"%Nwm - Concess Admit","20/10/2007","14:16:58","West Geelong",3218,5.9,"Local","Ticket Sales",-38.1180538,144.2047333
"Card - Outback Echnida H/Made (Mokoh )","23/2/2011","12:50:47","West Geelong",3218,5.41,"Local","Shop Sales",-38.1180538,144.2047333
"%Nwm - Concess Admit","19/9/2013","11:16:58","Belmont / Grovedale / Highton",3216,60,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","26/10/2008","14:19:57","Belmont / Grovedale / Highton",3216,3.65,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","18/5/2013","11:11:08","Queenscliff",3225,7.5,"Local","Ticket Sales",-38.2735587,144.5985292
"%Nwm - Adult Admit","29/12/2013","11:29:39","Sunshine",3020,7.5,"Local","Ticket Sales",-37.7791149,144.823628
"%Nwm - Adult Admit","3/7/2005","13:56:25","Boolarra",3870,14.6,"Local","Ticket Sales",-38.4631226,146.3600438
"Great Ocean Walk","7/1/2009","15:10:35","Belmont / Grovedale / Highton",3216,3.95,"Local","Shop Sales",-38.1747227,144.3139277
"NWM - Free Admission","26/10/2014","1:06:45","East Geelong",3219,0,"Local","Shop Sales",-38.176358,144.3849841
"Postcards Gt Ocean Rd/Gor16","9/9/2009","15:09:17","East Geelong",3219,0.68,"Local","Shop Sales",-38.176358,144.3849841
